Occurance,Landcover,Dist_Road,Dist_Rail,Dist_WA,Dist_W
1,21,0.661591138,14999.23337,4080.597212,350.6552133
1,21,0,0,0,0
1,21,2.193746818,20938.68486,2158.306751,1067.186385
1,21,4.610558856,3424.019042,1958.069785,518.7956374
1,21,2.216488857,9396.253466,329.4947349,821.340301
1,21,2.519576506,12005.18358,800.5790728,329.9736801
1,21,0.062407336,7090.801538,825.0378825,725.1902944
1,21,2.222814253,2900.902617,1514.742266,1147.802622
1,21,19.25315675,11230.82571,663.8314508,13.24033973
1,21,1.20845998,75.09830989,2163.989936,256.7593563
1,21,0.00433618,10143.90892,4060.863418,666.078556
1,21,2.108634084,18606.80536,2621.830627,416.77905
1,21,33.55859848,213.9494688,846.2241961,393.217977
1,21,2.414845267,9980.823357,2114.031819,369.0712227
1,21,1.626295327,2129.075958,2060.713714,676.0694103
1,21,4.395681564,2449.487431,264.8333915,294.341068
1,21,0.173432027,13635.74119,4690.99642,13.20790184
1,21,0.157890983,20990.40385,1040.426552,263.1115185
1,21,4.841089672,17.25910845,145.3616592,140.7907235
1,21,1.700072168,16394.44062,10754.71566,422.8503369
1,21,0.642441338,1741.076538,269.7911344,87.84325591
1,21,1.289113465,15.84223684,298.2752861,481.7130713
1,21,2.43127736,396.4046721,1076.421404,229.4393831
1,21,1.331504807,1129.057187,1587.021687,499.4540252
1,21,0.737123706,16440.92193,792.787211,705.8469321
1,21,3.361994127,12075.9421,1536.951015,375.8991005
1,21,78.50877091,1010.808156,261.0210705,346.5331791
1,21,5.227804835,16758.03476,1023.189765,71.5179494
1,21,4.05293963,760.3238845,5450.193178,759.9310212
1,21,0.195191965,9513.927687,1437.50942,329.0405314
1,21,1.761541642,3936.91219,3727.228995,946.5619425
1,21,0.385100663,11660.62634,4811.952782,1009.970822
1,21,9.186287064,3855.323636,197.6375046,46.31741204
1,21,1.585714897,7977.604936,2973.097274,563.8788348
1,21,0.81734054,19104.62831,3926.818965,1116.387706
1,21,1.723775744,7955.207331,2491.681262,115.6412865
1,21,0.250930688,13323.70634,401.7155785,210.5848306
1,21,20.541497,13124.15428,2372.174298,932.136352
1,21,0.469225136,1413.897273,1534.446973,440.3454533
1,21,1.650934445,2432.837268,2288.383386,769.7539499
1,21,0.009297152,2966.247766,568.1109655,525.8103116
1,21,3.033266855,15385.74557,174.3497431,176.8058317
1,21,0.179684882,286.7799599,3203.653522,135.1745362
1,21,0.25737091,6814.503449,7864.525348,778.4999796
1,21,2.732561198,2488.014668,440.9659699,99.2215827
1,21,2.107958101,4268.221603,3410.541289,149.3701718
1,21,1.074935206,9764.567838,2150.665248,547.8942333
1,21,0.499472503,6649.057986,2615.33548,418.0014154
1,21,1.390342855,7347.022452,3092.497811,520.7794947
1,21,3.110071106,6968.333285,2882.939614,1458.616683
1,21,1.6875698,3864.371604,3265.590419,114.4824049
1,21,1.651664499,5621.294878,858.7151444,1040.454432
1,21,1.033991068,1109.691244,1878.518877,879.933244
1,21,2.456462281,7819.279812,2062.426197,269.1908758
1,21,4.104977287,18.04452279,1075.330557,129.2005394
1,21,0.054057992,104.5516556,1098.606009,614.677238
1,21,3.902650652,3921.332157,3541.359273,282.3226117
1,21,1.157302956,7947.995768,1836.596866,202.9821951
1,21,0.10346957,3631.743571,419.6270779,90.97991851
1,21,1.826135556,6372.257972,663.6199037,86.48933252
1,21,0.648755414,4558.168028,938.2272568,251.9152437
1,21,6.365500536,2666.393441,803.3511881,786.7772364
1,21,0.65565714,3971.493865,2096.637625,674.7008954
1,21,2.619602147,12038.63699,5607.82562,492.1220829
1,21,1.066557864,1547.919016,508.1209921,66.42971137
1,21,0.254632697,599.0055867,396.1769386,2055.566124
1,21,6.69970059,8606.690825,1035.387475,306.8526037
1,21,1.100784665,13285.72704,941.4978341,392.4262746
1,21,0.344395043,11382.62142,392.2087043,141.4188694
1,21,0.379031462,6482.37164,780.6013229,97.57197827
1,21,1.975090231,19.57636946,832.32262,962.9862537
1,21,0.644314603,1401.79714,624.7759623,81.58611583
1,21,4.722369486,2543.848978,486.4661275,689.0030646
1,21,3.486903065,134.6691549,322.2528056,109.886482
1,21,6.702972357,244.0148766,1452.742971,700.1074834
1,21,4.848155859,11371.72794,90.86182053,182.7708036
1,21,3.537038165,12443.48625,340.7691981,1075.485958
1,21,1.957918106,1302.282636,3339.046945,567.8415314
1,21,2.444871197,15205.86319,272.2075346,974.6150953
