Occurance,Landcover,Dist_WA,Dist_W
1,21,7864.525348,778.4999796
1,21,440.9659699,99.2215827
1,21,3410.541289,149.3701718
1,21,2150.665248,547.8942333
1,21,2615.33548,418.0014154
1,21,3092.497811,520.7794947
1,21,2882.939614,1458.616683
1,21,3265.590419,114.4824049
1,21,858.7151444,1040.454432
1,21,1878.518877,879.933244
1,21,2062.426197,269.1908758
1,21,1075.330557,129.2005394
1,21,1098.606009,614.677238
1,21,3541.359273,282.3226117
1,21,1836.596866,202.9821951
1,21,419.6270779,90.97991851
1,21,663.6199037,86.48933252
1,21,938.2272568,251.9152437
1,21,803.3511881,786.7772364
1,21,2096.637625,674.7008954
1,21,5607.82562,492.1220829
1,21,508.1209921,66.42971137
1,21,396.1769386,2055.566124
1,21,1035.387475,306.8526037
1,21,941.4978341,392.4262746
1,21,392.2087043,141.4188694
1,21,780.6013229,97.57197827
1,21,832.32262,962.9862537
1,21,624.7759623,81.58611583
1,21,486.4661275,689.0030646
1,21,322.2528056,109.886482
1,21,1452.742971,700.1074834
1,21,90.86182053,182.7708036
1,21,340.7691981,1075.485958
1,21,3339.046945,567.8415314
1,21,272.2075346,974.6150953
1,21,843.0878405,446.3102004
1,21,2645.963733,1016.368492
1,21,5471.618235,1011.693545
1,21,990.6306337,244.7970293
1,21,5459.39578,1193.872159
1,21,559.1243244,521.2543121
1,21,774.5740765,339.1283803
1,21,1354.105108,1556.612823
1,21,1566.950927,1425.575772
1,21,2499.806503,781.0312538
1,21,1346.723358,1181.146772
1,21,719.8057902,416.4843929
1,21,640.0998476,354.6845191
1,21,1891.481521,933.9169406
1,21,2941.39343,335.7982647
1,21,942.3807694,3.138659922
1,21,359.1255952,1152.789134
1,21,435.9683339,414.6931846
1,21,741.4899678,431.1706453
1,21,1096.886986,434.0367155
1,21,2917.94687,262.048184
1,21,515.0537621,220.4525095
1,21,396.8171074,442.3491623
1,21,2822.371581,1422.873768
1,21,4479.873909,470.9316125
1,21,380.301086,107.1627888
1,21,3139.489596,105.5167372
1,21,128.9315997,138.1530017
1,21,4219.888989,281.9048432
1,21,588.4056853,367.8042846
1,21,5121.66787,318.5967018
1,21,1158.071136,612.5663311
1,21,1449.728158,357.8128691
1,21,3593.390922,674.5556433
1,21,129.0782267,85.34529488
1,21,588.0642087,77.89715822
1,21,1391.241852,338.4081938
1,21,2207.619019,1735.492321
1,21,1585.54435,597.1502861
1,21,974.3657973,1077.262635
1,21,893.5127119,608.1643459
1,21,2343.57842,1052.012505
1,21,277.127766,214.1051222
1,21,5276.846256,1064.325967
1,21,2278.481101,485.1556682
1,21,2106.298982,492.6223771
